CICLO,ENTE,RAMO,SUBRAMO,PROGRAMA,PRESUPUESTO,GC_SERVICIOS_PERSONALES,GC_GASTO_DE_OPERACIÓN,GC_SUBSIDIOS,GC_OTROS_DE_CORRIENTE,GC_SUMA,GI_PENSIONES_Y_JUBILACIONES,GI_INVERSIÓN_FÍSICA,GI_SUBSIDIOS,GI_OTROS_DE_INVERSIÓN,GI_SUMA,TOTAL,PORCENTAJE_CORRIENTE,PORCENTAJE_PENSIONES_Y_JUBILACIONES,PORCENTAJE_INVERSIÓN
2024,Poder Legislativo,H. Cámara de Senadores,,K026,Ejercido,0.0,0.0,0.0,0.0,0.0,0.0,5377866.65,0.0,0.0,5377866.65,5377866.65,0.0,0.0,100.0
2024,Poder Legislativo,H. Cámara de Senadores,,K026,Porcentaje Ejer/Aprob,0.0,0.0,0.0,0.0,0.0,0.0,224.07777708333336,0.0,0.0,224.07777708333336,224.07777708333336,,0.0,
2024,Poder Legislativo,H. Cámara de Senadores,,K026,Porcentaje Ejer/Modif,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,,0.0,
2024,Poder Legislativo,H. Cámara de Senadores,,R001,Actividades derivadas del trabajo legislativo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
2024,Poder Legislativo,H. Cámara de Senadores,,R001,Aprobado,2927794736.0,1971150991.0,0.0,11326000.0,4910271727.0,0.0,42510300.0,0.0,0.0,42510300.0,4952782027.0,99.1416884537164,0.0,0.8583115462836015
2024,Poder Legislativo,H. Cámara de Senadores,,R001,Modificado,3274276052.26,1728918693.58,0.0,17374063.81,5020568809.65,0.0,19760880.96,0.0,0.0,19760880.96,5040329690.61,99.60794467479352,0.0,0.39205532520648395
2024,Poder Legislativo,H. Cámara de Senadores,,R001,Devengado,3274276052.26,1728918693.58,0.0,17374063.81,5020568809.65,0.0,19760880.96,0.0,0.0,19760880.96,5040329690.61,99.60794467479352,0.0,0.39205532520648395
2024,Poder Legislativo,H. Cámara de Senadores,,R001,Ejercido,3274276052.26,1728918693.58,0.0,17374063.81,5020568809.65,0.0,19760880.96,0.0,0.0,19760880.96,5040329690.61,99.60794467479352,0.0,0.39205532520648395
2024,Poder Legislativo,H. Cámara de Senadores,,R001,Porcentaje Ejer/Aprob,111.8342079108103,87.71112418449937,0.0,153.3998217375949,102.24625211764781,0.0,46.48492473588754,0.0,0.0,46.48492473588754,101.76764620636918,,0.0,
2024,Poder Legislativo,H. Cámara de Senadores,,R001,Porcentaje Ejer/Modif,100.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,,0.0,
2024,Poder Judicial,,,TOTAL,Aprobado,67570756324.0,10178950942.0,3878391.0,299781769.0,78053367426.0,0.0,273910819.0,0.0,0.0,273910819.0,78327278245.0,99.65029958254999,0.0,0.3497004174500153
2024,Poder Judicial,,,TOTAL,Modificado,67431478967.98,11253726437.54,4527465.92,299260505.16,78988993376.6,0.0,505279910.96,0.0,0.0,505279910.96,79494273287.56,99.36438199877341,0.0,0.6356180012266001
2024,Poder Judicial,,,TOTAL,Devengado,67370742651.26,10347230069.61,4527465.92,291361179.31,78013861366.1,0.0,497073161.25,0.0,0.0,497073161.25,78510934527.35,99.36687397208749,0.0,0.6331260279125068
2024,Poder Judicial,,,TOTAL,Ejercido,67370742651.26,10347230069.61,4527465.92,291361179.31,78013861366.1,0.0,497073161.25,0.0,0.0,497073161.25,78510934527.35,99.36687397208749,0.0,0.6331260279125068
2024,Poder Judicial,,,TOTAL,Porcentaje Ejer/Aprob,99.7039937339447,101.65320698143512,116.7356751807644,97.19109346839568,99.94938583535496,0.0,181.4726278665174,0.0,0.0,181.4726278665174,100.23447295305672,,0.0,
2024,Poder Judicial,,,TOTAL,Porcentaje Ejer/Modif,99.9099288379114,91.94492266218481,100.0,97.36038477721053,98.76548368473212,0.0,98.37580130696118,0.0,0.0,98.37580130696118,98.76300679339141,,0.0,
2024,Poder Judicial,Suprema Corte de Justicia de la Nación,,TOTAL,Aprobado,4834843935.0,907172652.0,3878391.0,34553111.0,5780448089.0,0.0,6735509.0,0.0,0.0,6735509.0,5787183598.0,99.88361335205734,0.0,0.1163866479426665
2024,Poder Judicial,Suprema Corte de Justicia de la Nación,,TOTAL,Modificado,4695569382.89,985424000.91,4527465.92,41408334.12,5726929183.84,0.0,65344688.54,0.0,0.0,65344688.54,5792273872.38,98.87186466006742,0.0,1.1281353399325778
