Fecha,IPC
05/01/1999,42.025877
06/01/1999,42.302006
07/01/1999,42.58158
08/01/1999,42.821255
09/01/1999,43.235018
10/01/1999,43.508851
11/01/1999,43.895776
12/01/1999,44.335516
01/01/2000,44.93083
02/01/2000,45.32938
03/01/2000,45.580681
04/01/2000,45.840018
05/01/2000,46.011379
06/01/2000,46.28392
07/01/2000,46.464466
08/01/2000,46.719785
09/01/2000,47.061072
10/01/2000,47.385136
11/01/2000,47.790288
12/01/2000,48.307671
01/01/2001,48.575476
02/01/2001,48.543328
03/01/2001,48.850888
04/01/2001,49.097309
05/01/2001,49.20997
06/01/2001,49.326364
07/01/2001,49.198202
08/01/2001,49.489688
09/01/2001,49.950381
10/01/2001,50.176135
11/01/2001,50.365149
12/01/2001,50.434899
01/01/2002,50.900472
02/01/2002,50.86775
03/01/2002,51.127948
04/01/2002,51.407235
05/01/2002,51.511429
06/01/2002,51.762586
07/01/2002,51.911181
08/01/2002,52.10856
09/01/2002,52.421984
10/01/2002,52.653036
11/01/2002,53.078877
12/01/2002,53.30993
01/01/2003,53.525441
02/01/2003,53.674122
03/01/2003,54.01293
04/01/2003,54.105144
05/01/2003,53.93056
06/01/2003,53.975112
07/01/2003,54.053339
08/01/2003,54.21549
09/01/2003,54.538238
10/01/2003,54.738207
11/01/2003,55.192542
12/01/2003,55.429811
01/01/2004,55.774317
02/01/2004,56.107945
03/01/2004,56.298071
04/01/2004,56.383032
05/01/2004,56.241603
06/01/2004,56.331745
07/01/2004,56.47939
08/01/2004,56.828041
09/01/2004,57.297917
10/01/2004,57.694747
11/01/2004,58.186899
12/01/2004,58.307088
01/01/2005,58.30916
02/01/2005,58.503431
03/01/2005,58.767121
04/01/2005,58.976415
05/01/2005,58.828251
06/01/2005,58.771783
07/01/2005,59.0018
08/01/2005,59.072255
09/01/2005,59.309006
10/01/2005,59.45458
11/01/2005,59.882493
12/01/2005,60.250312
01/01/2006,60.603626
02/01/2006,60.696358
03/01/2006,60.772512
04/01/2006,60.861617
05/01/2006,60.590675
06/01/2006,60.642998
07/01/2006,60.809294
08/01/2006,61.119609
09/01/2006,61.736612
10/01/2006,62.006519
11/01/2006,62.331857
12/01/2006,62.692424
01/01/2007,63.016208
02/01/2007,63.192347
03/01/2007,63.329113
04/01/2007,63.291295
05/01/2007,62.982534
06/01/2007,63.05817
07/01/2007,63.326005
08/01/2007,63.583996
09/01/2007,64.077703
10/01/2007,64.327405
11/01/2007,64.781221
12/01/2007,65.049056
01/01/2008,65.350564
02/01/2008,65.544834
03/01/2008,66.019891
04/01/2008,66.170127
05/01/2008,66.098635
06/01/2008,66.372168
07/01/2008,66.742059
08/01/2008,67.127492
09/01/2008,67.584935
10/01/2008,68.045486
11/01/2008,68.818942
12/01/2008,69.295552
01/01/2009,69.456149
02/01/2009,69.609494
03/01/2009,70.00995
04/01/2009,70.25499
05/01/2009,70.050358
06/01/2009,70.179354
07/01/2009,70.370516
08/01/2009,70.538884
09/01/2009,70.892716
10/01/2009,71.107191
11/01/2009,71.476046
12/01/2009,71.771855
01/01/2010,72.552046
02/01/2010,72.971671
03/01/2010,73.489725
04/01/2010,73.255565
05/01/2010,72.793978
06/01/2010,72.771183
07/01/2010,72.92919
08/01/2010,73.13175
09/01/2010,73.51511
10/01/2010,73.968926
11/01/2010,74.561581
12/01/2010,74.930954
01/01/2011,75.295991
02/01/2011,75.57846
03/01/2011,75.723451
04/01/2011,75.717441
05/01/2011,75.159264
06/01/2011,75.155508
07/01/2011,75.516107
08/01/2011,75.635555
09/01/2011,75.821113
10/01/2011,76.332712
11/01/2011,77.158333
12/01/2011,77.792385
01/01/2012,78.343049
02/01/2012,78.502314
03/01/2012,78.547389
04/01/2012,78.30098
05/01/2012,78.053819
06/01/2012,78.413667
07/01/2012,78.853897
08/01/2012,79.09054
09/01/2012,79.439119
10/01/2012,79.841036
11/01/2012,80.383437
12/01/2012,80.568243
01/01/2013,80.892782
02/01/2013,81.290943
03/01/2013,81.887433
04/01/2013,81.941523
05/01/2013,81.66882
06/01/2013,81.619238
07/01/2013,81.592193
08/01/2013,81.824328
09/01/2013,82.13234
10/01/2013,82.522988
11/01/2013,83.292265
12/01/2013,83.770058
01/01/2014,84.519052
02/01/2014,84.733157
03/01/2014,84.965292
04/01/2014,84.806779
05/01/2014,84.535579
06/01/2014,84.682072
07/01/2014,84.914959
08/01/2014,85.219965
09/01/2014,85.59634
10/01/2014,86.069626
11/01/2014,86.763778
12/01/2014,87.188984
01/01/2015,87.110103
02/01/2015,87.275377
03/01/2015,87.630717
04/01/2015,87.40384
05/01/2015,86.967366
06/01/2015,87.113108
07/01/2015,87.24082
08/01/2015,87.424875
09/01/2015,87.752419
10/01/2015,88.203919
11/01/2015,88.685468
12/01/2015,89.046818
01/01/2016,89.386381
02/01/2016,89.777781
03/01/2016,89.910001
04/01/2016,89.625278
05/01/2016,89.225615
06/01/2016,89.324028
07/01/2016,89.556914
08/01/2016,89.809333
09/01/2016,90.357744
10/01/2016,90.906154
11/01/2016,91.616834
12/01/2016,92.039035
01/01/2017,93.603882
02/01/2017,94.14478
03/01/2017,94.722489
04/01/2017,94.838933
05/01/2017,94.725494
06/01/2017,94.96364
07/01/2017,95.322736
08/01/2017,95.793768
09/01/2017,96.093515
10/01/2017,96.698269
11/01/2017,97.695174
12/01/2017,98.272883
01/01/2018,98.795
02/01/2018,99.171374
03/01/2018,99.492157
04/01/2018,99.154847
05/01/2018,98.99408
06/01/2018,99.376465
07/01/2018,99.909099
08/01/2018,100.492
09/01/2018,100.917
10/01/2018,101.44
11/01/2018,102.303
12/01/2018,103.02
01/01/2019,103.108
02/01/2019,103.079
03/01/2019,103.476
04/01/2019,103.531
05/01/2019,103.233
06/01/2019,103.299
07/01/2019,103.687
08/01/2019,103.67
09/01/2019,103.942
10/01/2019,104.503
11/01/2019,105.346
12/01/2019,105.934
01/01/2020,106.447
02/01/2020,106.889
03/01/2020,106.838
04/01/2020,105.755
05/01/2020,106.162
06/01/2020,106.743
07/01/2020,107.444
08/01/2020,107.867
09/01/2020,108.114
10/01/2020,108.774
11/01/2020,108.856
12/01/2020,109.271
01/01/2021,110.21
02/01/2021,110.907
03/01/2021,111.824
04/01/2021,112.19
05/01/2021,112.419
06/01/2021,113.018
07/01/2021,113.682
08/01/2021,113.899
09/01/2021,114.601
10/01/2021,115.561
11/01/2021,116.884
12/01/2021,117.308
01/01/2022,118.002
02/01/2022,118.981
03/01/2022,120.159
04/01/2022,120.809
05/01/2022,121.022
06/01/2022,122.044
07/01/2022,122.948
08/01/2022,123.803
09/01/2022,124.571
10/01/2022,125.276
11/01/2022,125.997
12/01/2022,126.478
01/01/2023,127.336
02/01/2023,128.046
03/01/2023,128.389
04/01/2023,128.363
05/01/2023,128.084
06/01/2023,128.214
07/01/2023,128.832
