CICLO,ENTE,RAMO,PROGRAMA,DESCRIPCIÓN,PRESUPUESTO,GC_SERVICIOS_PERSONALES,GC_GASTO_DE_OPERACIÓN,GC_SUBSIDIOS,GC_OTROS_DE_CORRIENTE,GC_SUMA,GI_PENSIONES_Y_JUBILACIONES,GI_INVERSIÓN_FÍSICA,GI_SUBSIDIOS,GI_OTROS_DE_INVERSIÓN,GI_SUMA,TOTAL,PORCENTAJE_CORRIENTE,PORCENTAJE_PENSIONES_Y_JUBILACIONES,PORCENTAJE_INVERSIÓN
2013,Órganos Autónomos,Instituto Nacional Electoral,R010,Vinculación con la sociedad,Modificado,93742810.84000002,53381206.61000002,,6275978.59,153399996.04000005,,708131.69,,,708131.69,154108127.73000005,99.54049685734898,,0.4595031426510211
2013,Órganos Autónomos,Instituto Nacional Electoral,R010,Vinculación con la sociedad,Devengado,93737946.78,50385269.60999999,,5612158.8100000005,149735375.2,,689223.69,,,689223.69,150424598.89,99.54181450701158,,0.45818549298842004
2013,Órganos Autónomos,Instituto Nacional Electoral,R010,Vinculación con la sociedad,Ejercicio,93737946.78,50385269.60999999,,5612158.8100000005,149735375.2,,689223.69,,,689223.69,150424598.89,99.54181450701158,,0.45818549298842004
2013,Órganos Autónomos,Instituto Nacional Electoral,R011,Tecnologías de información y comunicaciones,Aprobado,74966136.0,250679945.0,,0.0,325646081.0,,0.0,,,0.0,325646081.0,100.0,,0.0
2013,Órganos Autónomos,Instituto Nacional Electoral,R011,Tecnologías de información y comunicaciones,Modificado,75488053.32,238603380.93999997,,18900.0,314110334.26,,136072.81,,,136072.81,314246407.07,99.95669869028298,,0.04330130971702378
2013,Órganos Autónomos,Instituto Nacional Electoral,R011,Tecnologías de información y comunicaciones,Devengado,75488053.32,231736363.94000003,,16500.0,307240917.26,,136072.81,,,136072.81,307376990.07,99.95573097063348,,0.04426902936651558
2013,Órganos Autónomos,Instituto Nacional Electoral,R011,Tecnologías de información y comunicaciones,Ejercicio,75488053.32,231736363.94000003,,16500.0,307240917.26,,136072.81,,,136072.81,307376990.07,99.95573097063348,,0.04426902936651558
2013,Órganos Autónomos,Tribunal Federal de Justicia Fiscal y Administrativa,E001,Impartición de Justicia Fiscal y Administrativa,Aprobado,1464265072.0,530583117.0,,5580032.0,2000428221.0,,0.0,,,0.0,2000428221.0,100.0,,0.0
2013,Órganos Autónomos,Tribunal Federal de Justicia Fiscal y Administrativa,E001,Impartición de Justicia Fiscal y Administrativa,Modificado,1487860247.9399993,504609767.4599992,,3865128.12,1996335143.5199986,,12252760.04,,,12252760.04,2008587903.5599985,99.38998138850266,,0.6100186114973283
2013,Órganos Autónomos,Tribunal Federal de Justicia Fiscal y Administrativa,E001,Impartición de Justicia Fiscal y Administrativa,Devengado,1533003473.5499976,438052855.74999976,,3908508.12,1974964837.4199972,,82233254.82000002,,,82233254.82000002,2057198092.2399971,96.00265744314105,,3.9973425568589587
2013,Órganos Autónomos,Tribunal Federal de Justicia Fiscal y Administrativa,E001,Impartición de Justicia Fiscal y Administrativa,Ejercicio,1533003473.5499976,438052855.74999976,,3908508.12,1974964837.4199972,,82233254.82000002,,,82233254.82000002,2057198092.2399971,96.00265744314105,,3.9973425568589587
2013,Órganos Autónomos,Tribunal Federal de Justicia Fiscal y Administrativa,K025,Proyectos de inmuebles (oficinas administrativas),Aprobado,,,,,,,57606644.0,,,57606644.0,57606644.0,0.0,,100.0
2013,Órganos Autónomos,Tribunal Federal de Justicia Fiscal y Administrativa,K025,Proyectos de inmuebles (oficinas administrativas),Modificado,,,,,,,57606644.0,,,57606644.0,57606644.0,0.0,,100.0
2013,Órganos Autónomos,Tribunal Federal de Justicia Fiscal y Administrativa,K025,Proyectos de inmuebles (oficinas administrativas),Devengado,,,,,,,25953737.91,,,25953737.91,25953737.91,0.0,,100.0
2013,Órganos Autónomos,Tribunal Federal de Justicia Fiscal y Administrativa,K025,Proyectos de inmuebles (oficinas administrativas),Ejercicio,,,,,,,25953737.91,,,25953737.91,25953737.91,0.0,,100.0
2013,Órganos Autónomos,Tribunal Federal de Justicia Fiscal y Administrativa,M001,Actividades de apoyo administrativo,Aprobado,78228842.0,1632023.0,,288000.0,80148865.0,,,,,,80148865.0,100.0,,0.0
2013,Órganos Autónomos,Tribunal Federal de Justicia Fiscal y Administrativa,M001,Actividades de apoyo administrativo,Modificado,82602063.47999999,1523704.0,,116175.0,84241942.47999999,,,,,,84241942.47999999,100.0,,0.0
2013,Órganos Autónomos,Tribunal Federal de Justicia Fiscal y Administrativa,M001,Actividades de apoyo administrativo,Devengado,65358061.49000001,1223704.0,,110975.0,66692740.49000001,,,,,,66692740.49000001,100.0,,0.0
2013,Órganos Autónomos,Tribunal Federal de Justicia Fiscal y Administrativa,M001,Actividades de apoyo administrativo,Ejercicio,65358061.49000001,1223704.0,,110975.0,66692740.49000001,,,,,,66692740.49000001,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E001,Establecer y dirigir la estrategia institucional para proteger y promover los Derechos Humanos y presentar sus resultados,Aprobado,11566939.0,2426227.0,,580564.0,14573730.0,,,,,,14573730.0,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E001,Establecer y dirigir la estrategia institucional para proteger y promover los Derechos Humanos y presentar sus resultados,Modificado,7404288.45,1662079.6099999999,,0.0,9066368.06,,,,,,9066368.06,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E001,Establecer y dirigir la estrategia institucional para proteger y promover los Derechos Humanos y presentar sus resultados,Devengado,7404288.45,1662079.6099999999,,0.0,9066368.06,,,,,,9066368.06,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E001,Establecer y dirigir la estrategia institucional para proteger y promover los Derechos Humanos y presentar sus resultados,Ejercicio,7404288.45,1662079.6099999999,,0.0,9066368.06,,,,,,9066368.06,100.0,,0.0
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,E002,Proporcionar servicios que se brindan en las áreas de atención al público en oficinas centrales,Aprobado,18190262.0,93600.0,,,18283862.0,,,,,,18283862.0,100.0,,0.0
