CICLO,ENTE,RAMO,PRESUPUESTO,GC_SERVICIOS_PERSONALES,GC_GASTO_DE_OPERACIÓN,GC_SUBSIDIOS,GC_OTROS_DE_CORRIENTE,GC_SUMA,GI_PENSIONES_Y_JUBILACIONES,GI_INVERSIÓN_FÍSICA,GI_SUBSIDIOS,GI_OTROS_DE_INVERSIÓN,GI_SUMA,TOTAL,PORCENTAJE_CORRIENTE,PORCENTAJE_PENSIONES_Y_JUBILACIONES,PORCENTAJE_INVERSIÓN
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,Modificado,983265747.0,287391132.2,,42598875.2,1313255754.4,,61871465.6,,,61871465.6,1375127220.0,95.50067334133638,,4.499326658663626
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,Devengado,982633339.9500002,273351836.52,,41158231.1,1297143407.5700002,,61869968.8,,,61869968.8,1359013376.3700001,95.4474348909458,,4.5525651090541945
2013,Órganos Autónomos,Comisión Nacional de los Derechos Humanos,Ejercicio,982633339.9500002,273351836.52,,41158231.1,1297143407.5700002,,61869968.8,,,61869968.8,1359013376.3700001,95.4474348909458,,4.5525651090541945
2013,Órganos Autónomos,Información Nacional Estadística y Geográfica,Aprobado,4338483904.0,889850050.0,,4918121.0,5233252075.0,,195930839.0,,,195930839.0,5429182914.0,96.39115421042894,,3.608845789571053
2013,Órganos Autónomos,Información Nacional Estadística y Geográfica,Modificado,4650673818.820001,1218948810.0900004,,9776423.099999998,5879399052.010001,,292304872.89000005,,,292304872.89000005,6171703924.900002,95.2637897662154,,4.736210233784606
2013,Órganos Autónomos,Información Nacional Estadística y Geográfica,Devengado,4650673819.0,1218948810.0,,9776423.0,5879399052.0,,292304872.0,,,292304872.0,6171703924.0,95.26378977994538,,4.73621022005462
2013,Órganos Autónomos,Información Nacional Estadística y Geográfica,Ejercicio,4650673819.0,1218948810.0,,9776423.0,5879399052.0,,292304872.0,,,292304872.0,6171703924.0,95.26378977994538,,4.73621022005462
2013,Órganos Autónomos,Comisión Federal de Competencia Económica,Aprobado,0.0,0.0,,0.0,0.0,,,,,,0.0, ,, 
2013,Órganos Autónomos,Comisión Federal de Competencia Económica,Modificado,60592112.230000004,19327086.79,,38194.76,79957393.78000002,,,,,,79957393.78000002,100.0,,0.0
2013,Órganos Autónomos,Comisión Federal de Competencia Económica,Devengado,60579784.23,19256553.549999993,,38194.76,79874532.53999999,,,,,,79874532.53999999,100.0,,0.0
2013,Órganos Autónomos,Comisión Federal de Competencia Económica,Ejercicio,60579784.23,19256553.549999993,,38194.76,79874532.53999999,,,,,,79874532.53999999,100.0,,0.0
2013,Órganos Autónomos,Instituto Nacional para la Evaluación de la Educación,Aprobado,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0, ,, 
2013,Órganos Autónomos,Instituto Nacional para la Evaluación de la Educación,Modificado,19927971.709999997,22493287.81,,541538.9499999993,42962798.47,,33001185.85,,,33001185.85,75963984.32,56.556799718427406,,43.443200281572594
2013,Órganos Autónomos,Instituto Nacional para la Evaluación de la Educación,Devengado,19927971.709999997,26684641.509999998,,413912.42,47026525.64,,28937458.68,,,28937458.68,75963984.32,61.90634425111209,,38.093655748887926
2013,Órganos Autónomos,Instituto Nacional para la Evaluación de la Educación,Ejercicio,19927971.709999997,26684641.509999998,,413912.42,47026525.64,,28937458.68,,,28937458.68,75963984.32,61.90634425111209,,38.093655748887926
2013,Órganos Autónomos,Instituto Federal de Telecomunicaciones,Aprobado,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0, ,, 
2013,Órganos Autónomos,Instituto Federal de Telecomunicaciones,Modificado,82672665.06,90273842.89000002,,76778.93,173023286.88000003,,40602835.93,,,40602835.93,213626122.81000003,80.99350613309014,,19.006493866909867
2013,Órganos Autónomos,Instituto Federal de Telecomunicaciones,Devengado,82353277.41000004,78773133.5,,76778.93,161203189.84000003,,41179389.56,,,41179389.56,202382579.40000004,79.65270050313431,,20.347299496865684
2013,Órganos Autónomos,Instituto Federal de Telecomunicaciones,Ejercicio,82353277.41000004,78773133.5,,76778.93,161203189.84000003,,41179389.56,,,41179389.56,202382579.40000004,79.65270050313431,,20.347299496865684
2013,Ramos Administrativos,Presidencia de la República,Aprobado,1021907069.0,1004693789.0,,1916285.0,2028517143.0,,76025693.0,,,76025693.0,2104542836.0,96.38754357005637,,3.6124564299436286
2013,Ramos Administrativos,Presidencia de la República,Modificado,1290235184.3700004,1849988332.75,,1106695.81,3141330212.9300003,,132129768.59000002,,,132129768.59000002,3273459981.5200005,95.96360519646106,,4.036394803538939
2013,Ramos Administrativos,Presidencia de la República,Devengado,1290226941.1700006,1849977265.44,,1106695.81,3141310902.4200006,,132129768.59000002,,,132129768.59000002,3273440671.0100007,95.96358138517195,,4.036418614828054
2013,Ramos Administrativos,Presidencia de la República,Ejercicio,1290226941.1700003,1849977265.44,,1106695.81,3141310902.4200006,,132129768.59000002,,,132129768.59000002,3273440671.0100007,95.96358138517195,,4.036418614828054
2013,Ramos Administrativos,Gobernación,Aprobado,27615218569.0,21429892781.0,10173488340.0,1796287340.0,61014887030.0,,1243500000.0,,,1243500000.0,62258387030.0,98.002678740455,,1.9973212595450052
2013,Ramos Administrativos,Gobernación,Modificado,24057801825.460003,23993939334.16999,9767892723.489998,735589234.9699999,58555223118.08999,,2953949755.64,,,2953949755.64,61509172873.72999,95.19754596325973,,4.802454036740275
2013,Ramos Administrativos,Gobernación,Devengado,24057172225.100002,23965216845.389996,9761394604.52,735585750.9699999,58519369425.979996,,2953949755.6400003,,,2953949755.6400003,61473319181.619995,95.19474498048056,,4.805255019519438
2013,Ramos Administrativos,Gobernación,Ejercicio,24056324717.489994,23780476706.53,9761394604.52,735585750.9699999,58333781779.509995,,2953949755.6400003,,,2953949755.6400003,61287731535.149994,95.18019401004287,,4.819805989957124
2013,Ramos Administrativos,Relaciones Exteriores,Aprobado,3599611462.0,1669004343.0,,1590700591.0,6859316396.0,,88050462.0,,,88050462.0,6947366858.0,98.73260670121935,,1.2673932987806529
